Logarithm Table for GF(2^10)
power | polynomial 
alpha^-1  |  0000000000 (decimal: 0)
alpha^ 0  |  0000000001 (decimal: 1)
alpha^ 1  |  0000000010 (decimal: 2)
alpha^ 2  |  0000000100 (decimal: 4)
alpha^ 3  |  0000001000 (decimal: 8)
alpha^ 4  |  0000010000 (decimal: 16)
alpha^ 5  |  0000100000 (decimal: 32)
alpha^ 6  |  0001000000 (decimal: 64)
alpha^ 7  |  0010000000 (decimal: 128)
alpha^ 8  |  0100000000 (decimal: 256)
alpha^ 9  |  1000000000 (decimal: 512)
alpha^10  |  0000001001 (decimal: 9)
alpha^11  |  0000010010 (decimal: 18)
alpha^12  |  0000100100 (decimal: 36)
alpha^13  |  0001001000 (decimal: 72)
alpha^14  |  0010010000 (decimal: 144)
alpha^15  |  0100100000 (decimal: 288)
alpha^16  |  1001000000 (decimal: 576)
alpha^17  |  0010001001 (decimal: 137)
alpha^18  |  0100010010 (decimal: 274)
alpha^19  |  1000100100 (decimal: 548)
alpha^20  |  0001000001 (decimal: 65)
alpha^21  |  0010000010 (decimal: 130)
alpha^22  |  0100000100 (decimal: 260)
alpha^23  |  1000001000 (decimal: 520)
alpha^24  |  0000011001 (decimal: 25)
alpha^25  |  0000110010 (decimal: 50)
alpha^26  |  0001100100 (decimal: 100)
alpha^27  |  0011001000 (decimal: 200)
alpha^28  |  0110010000 (decimal: 400)
alpha^29  |  1100100000 (decimal: 800)
alpha^30  |  1001001001 (decimal: 585)
alpha^31  |  0010011011 (decimal: 155)
alpha^32  |  0100110110 (decimal: 310)
alpha^33  |  1001101100 (decimal: 620)
alpha^34  |  0011010001 (decimal: 209)
alpha^35  |  0110100010 (decimal: 418)
alpha^36  |  1101000100 (decimal: 836)
alpha^37  |  1010000001 (decimal: 641)
alpha^38  |  0100001011 (decimal: 267)
alpha^39  |  1000010110 (decimal: 534)
alpha^40  |  0000100101 (decimal: 37)
alpha^41  |  0001001010 (decimal: 74)
alpha^42  |  0010010100 (decimal: 148)
alpha^43  |  0100101000 (decimal: 296)
alpha^44  |  1001010000 (decimal: 592)
alpha^45  |  0010101001 (decimal: 169)
alpha^46  |  0101010010 (decimal: 338)
alpha^47  |  1010100100 (decimal: 676)
alpha^48  |  0101000001 (decimal: 321)
alpha^49  |  1010000010 (decimal: 642)
alpha^50  |  0100001101 (decimal: 269)
alpha^51  |  1000011010 (decimal: 538)
alpha^52  |  0000111101 (decimal: 61)
alpha^53  |  0001111010 (decimal: 122)
alpha^54  |  0011110100 (decimal: 244)
alpha^55  |  0111101000 (decimal: 488)
alpha^56  |  1111010000 (decimal: 976)
alpha^57  |  1110101001 (decimal: 937)
alpha^58  |  1101011011 (decimal: 859)
alpha^59  |  1010111111 (decimal: 703)
alpha^60  |  0101110111 (decimal: 375)
alpha^61  |  1011101110 (decimal: 750)
alpha^62  |  0111010101 (decimal: 469)
alpha^63  |  1110101010 (decimal: 938)
alpha^64  |  1101011101 (decimal: 861)
alpha^65  |  1010110011 (decimal: 691)
alpha^66  |  0101101111 (decimal: 367)
alpha^67  |  1011011110 (decimal: 734)
alpha^68  |  0110110101 (decimal: 437)
alpha^69  |  1101101010 (decimal: 874)
alpha^70  |  1011011101 (decimal: 733)
alpha^71  |  0110110011 (decimal: 435)
alpha^72  |  1101100110 (decimal: 870)
alpha^73  |  1011000101 (decimal: 709)
alpha^74  |  0110000011 (decimal: 387)
alpha^75  |  1100000110 (decimal: 774)
alpha^76  |  1000000101 (decimal: 517)
alpha^77  |  0000000011 (decimal: 3)
alpha^78  |  0000000110 (decimal: 6)
alpha^79  |  0000001100 (decimal: 12)
alpha^80  |  0000011000 (decimal: 24)
alpha^81  |  0000110000 (decimal: 48)
alpha^82  |  0001100000 (decimal: 96)
alpha^83  |  0011000000 (decimal: 192)
alpha^84  |  0110000000 (decimal: 384)
alpha^85  |  1100000000 (decimal: 768)
alpha^86  |  1000001001 (decimal: 521)
alpha^87  |  0000011011 (decimal: 27)
alpha^88  |  0000110110 (decimal: 54)
alpha^89  |  0001101100 (decimal: 108)
alpha^90  |  0011011000 (decimal: 216)
alpha^91  |  0110110000 (decimal: 432)
alpha^92  |  1101100000 (decimal: 864)
alpha^93  |  1011001001 (decimal: 713)
alpha^94  |  0110011011 (decimal: 411)
alpha^95  |  1100110110 (decimal: 822)
alpha^96  |  1001100101 (decimal: 613)
alpha^97  |  0011000011 (decimal: 195)
alpha^98  |  0110000110 (decimal: 390)
alpha^99  |  1100001100 (decimal: 780)
alpha^100  |  1000010001 (decimal: 529)
alpha^101  |  0000101011 (decimal: 43)
alpha^102  |  0001010110 (decimal: 86)
alpha^103  |  0010101100 (decimal: 172)
alpha^104  |  0101011000 (decimal: 344)
alpha^105  |  1010110000 (decimal: 688)
alpha^106  |  0101101001 (decimal: 361)
alpha^107  |  1011010010 (decimal: 722)
alpha^108  |  0110101101 (decimal: 429)
alpha^109  |  1101011010 (decimal: 858)
alpha^110  |  1010111101 (decimal: 701)
alpha^111  |  0101110011 (decimal: 371)
alpha^112  |  1011100110 (decimal: 742)
alpha^113  |  0111000101 (decimal: 453)
alpha^114  |  1110001010 (decimal: 906)
alpha^115  |  1100011101 (decimal: 797)
alpha^116  |  1000110011 (decimal: 563)
alpha^117  |  0001101111 (decimal: 111)
alpha^118  |  0011011110 (decimal: 222)
alpha^119  |  0110111100 (decimal: 444)
alpha^120  |  1101111000 (decimal: 888)
alpha^121  |  1011111001 (decimal: 761)
alpha^122  |  0111111011 (decimal: 507)
alpha^123  |  1111110110 (decimal: 1014)
alpha^124  |  1111100101 (decimal: 997)
alpha^125  |  1111000011 (decimal: 963)
alpha^126  |  1110001111 (decimal: 911)
alpha^127  |  1100010111 (decimal: 791)
alpha^128  |  1000100111 (decimal: 551)
alpha^129  |  0001000111 (decimal: 71)
alpha^130  |  0010001110 (decimal: 142)
alpha^131  |  0100011100 (decimal: 284)
alpha^132  |  1000111000 (decimal: 568)
alpha^133  |  0001111001 (decimal: 121)
alpha^134  |  0011110010 (decimal: 242)
